transaction_id,customer_id,card_id,transaction_time,amount,merchant,merchant_category,location
T0111,C008,CRD08,2026-04-29 01:05:13,1111.9,Flipkart,E-commerce,Hyderabad
T0423,C002,CRD02,2026-04-29 21:04:18,248.74,Swiggy,Food,Jaipur
T0086,C001,CRD01,2026-04-28 05:19:25,1473.33,Flipkart,E-commerce,Mumbai
T0141,C006,CRD06,2026-04-28 04:14:56,677.73,Tiffany,Luxury,Mumbai
T0179,C006,CRD06,2026-04-29 06:47:05,2125.85,Louis Vuitton,Luxury,Chennai
T0201,C003,CRD03,2026-04-29 07:01:56,9128.1,BPCL,Fuel,Delhi
T0724,C009,CRD09,2026-04-29 15:56:41,14028.93,Louis Vuitton,Luxury,Delhi
T0445,C009,CRD09,2026-04-29 08:32:17,609.0,Apple Store,Electronics,Bengaluru
T0219,C010,CRD10,2026-04-28 18:47:15,432.34,Max Fashion,Shopping,Ahmedabad
T0943,C007,CRD07,2026-04-30 07:51:48,514.3,Zomato,Food,Kolkata
T0129,C009,CRD09,2026-04-29 12:08:52,34328.33,Reliance Digital,Electronics,Pune
T0511,C006,CRD06,2026-04-28 20:51:15,25278.82,Luxury Brand,Luxury,Bengaluru
T0730,C008,CRD08,2026-04-28 21:57:18,1902.89,Amazon,E-commerce,Delhi
T0849,C003,CRD03,2026-04-28 10:54:16,3210.52,IndianOil,Fuel,Jaipur
T1036,C001,CRD01,2026-04-27 22:41:11,2366.79,Amazon,E-commerce,Delhi
T0116,C005,CRD05,2026-04-30 15:08:07,883.63,Blinkit,Groceries,Pune
T0530,C006,CRD06,2026-04-30 10:12:18,634.16,Tiffany,Luxury,Chennai
T1006,C007,CRD07,2026-05-01 03:19:27,10487.96,Croma,Electronics,Delhi
T0683,C001,CRD01,2026-04-29 19:02:49,865.02,Myntra,E-commerce,Delhi
T0431,C007,CRD07,2026-04-30 06:03:58,88.24,Zomato,Food,Mumbai
T0747,C009,CRD09,2026-04-30 06:08:34,517.01,Apple Store,Electronics,Bengaluru
T0023,C005,CRD05,2026-04-28 05:49:46,965.49,Blinkit,Groceries,Delhi
T0535,C002,CRD02,2026-04-28 02:33:43,1715.68,Dominos,Food,Jaipur
T0372,C008,CRD08,2026-04-29 20:10:08,211.21,Myntra,E-commerce,Hyderabad
T0018,C005,CRD05,2026-04-30 14:12:37,867.02,Blinkit,Groceries,Pune
T0881,C006,CRD06,2026-04-29 09:22:41,1614.76,Tiffany,Luxury,Chennai
T0586,C003,CRD03,2026-04-28 22:55:31,1593.3,Reliance Digital,Electronics,Pune
T1046,C009,CRD09,2026-04-27 23:17:28,2192.5,Croma,Electronics,Delhi
T0467,C002,CRD02,2026-04-29 09:19:36,344.28,McDonald's,Food,Jaipur
T0697,C006,CRD06,2026-04-29 04:01:21,1956.02,Luxury Brand,Luxury,Chennai
T0357,C009,CRD09,2026-04-30 01:53:24,2190.6,Croma,Electronics,Bengaluru
T0024,C009,CRD09,2026-04-28 19:48:25,3074.93,Netflix,Entertainment,Delhi
T0014,C004,CRD04,2026-04-30 11:15:32,1021.47,Reliance Digital,Electronics,Lucknow
T0456,C009,CRD09,2026-04-30 20:31:21,2214.56,Reliance Digital,Electronics,Bengaluru
T1042,C003,CRD03,2026-04-29 22:58:19,8960.91,Croma,Electronics,Delhi
T0093,C005,CRD05,2026-05-01 03:02:14,1488.3,HPCL,Fuel,Nagpur
T0492,C005,CRD05,2026-04-28 15:51:21,833.96,DMart,Groceries,Pune
T1194,C004,CRD04,2026-04-30 22:49:07,3706.48,Croma,Electronics,Mumbai
T0278,C008,CRD08,2026-04-30 15:30:17,1873.31,Flipkart,E-commerce,Hyderabad
T1150,C008,CRD08,2026-04-29 06:06:10,4167.08,BookMyShow,Entertainment,Delhi
T0579,C005,CRD05,2026-04-28 21:55:03,898.46,BigBasket,Groceries,Pune
T0414,C003,CRD03,2026-05-01 05:11:15,297.43,Max Fashion,Shopping,Delhi
T1032,C008,CRD08,2026-04-28 23:07:46,746.24,Meesho,E-commerce,Jaipur
T0927,C007,CRD07,2026-04-28 13:54:33,237.4,Swiggy,Food,Chennai
T0302,C005,CRD05,2026-04-30 12:14:03,275.24,DMart,Groceries,Mumbai
T0746,C004,CRD04,2026-04-29 18:41:32,75.96,Apple Store,Electronics,Mumbai
T0832,C008,CRD08,2026-04-29 22:54:51,1282.93,Meesho,E-commerce,Hyderabad
T0168,C005,CRD05,2026-04-30 03:42:16,645.79,Blinkit,Groceries,Pune
T0549,C006,CRD06,2026-04-27 20:16:22,1561.29,Luxury Brand,Luxury,Bengaluru
T0712,C005,CRD05,2026-04-28 09:52:03,547.25,Blinkit,Groceries,Pune
T1023,C004,CRD04,2026-04-30 20:08:16,2540.12,Croma,Electronics,Mumbai
T0811,C001,CRD01,2026-04-28 14:14:14,1216.78,Flipkart,E-commerce,Mumbai
T0797,C001,CRD01,2026-05-01 00:25:10,1045.48,Flipkart,E-commerce,Delhi
T0806,C010,CRD10,2026-04-30 12:56:47,10887.67,Reliance Digital,Electronics,Pune
T0199,C010,CRD10,2026-04-30 05:46:29,504.51,H&M,Shopping,Ahmedabad
T0340,C003,CRD03,2026-04-29 06:54:07,9336.83,Croma,Electronics,Delhi
T0117,C003,CRD03,2026-04-27 20:20:25,1109.09,H&M,Shopping,Mumbai
T1050,C003,CRD03,2026-04-29 23:09:17,357.59,Max Fashion,Shopping,Delhi
T1065,C006,CRD06,2026-04-28 11:43:37,2165.68,Tiffany,Luxury,Chennai
T0045,C002,CRD02,2026-04-28 23:36:57,357.74,Zomato,Food,Mumbai
T0249,C010,CRD10,2026-04-28 23:47:07,383.69,Max Fashion,Shopping,Ahmedabad
T0963,C009,CRD09,2026-04-30 23:56:57,1037.24,Apple Store,Electronics,Mumbai
T0425,C005,CRD05,2026-05-01 04:04:58,146.15,Blinkit,Groceries,Pune
T1195,C007,CRD07,2026-04-27 23:56:54,1285.48,Dominos,Food,Jaipur
T0194,C002,CRD02,2026-04-29 16:35:39,352.49,Zomato,Food,Jaipur
T0649,C005,CRD05,2026-04-30 04:00:32,2700.49,HPCL,Fuel,Nagpur
T1156,C003,CRD03,2026-04-30 20:01:02,587.08,Zara,Shopping,Delhi
T0487,C010,CRD10,2026-04-28 23:40:32,7290.87,Reliance Digital,Electronics,Pune
T0332,C010,CRD10,2026-04-28 11:25:51,427.55,H&M,Shopping,Mumbai
T0186,C006,CRD06,2026-04-30 02:02:45,1001.83,Tiffany,Luxury,Chennai
T0819,C009,CRD09,2026-04-30 09:53:20,76.7,Reliance Digital,Electronics,Bengaluru
T0033,C007,CRD07,2026-04-29 14:31:43,551.92,Dominos,Food,Kolkata
T0641,C003,CRD03,2026-04-28 09:08:36,551.14,Zara,Shopping,Delhi
T0777,C010,CRD10,2026-04-30 06:04:02,5656.55,Netflix,Entertainment,Bengaluru
T0401,C004,CRD04,2026-04-28 16:38:43,3560.46,Reliance Digital,Electronics,Mumbai
T0525,C008,CRD08,2026-04-29 12:40:47,1603.97,Myntra,E-commerce,Hyderabad
T0705,C009,CRD09,2026-04-28 14:39:59,474.84,Reliance Digital,Electronics,Bengaluru
T0584,C007,CRD07,2026-04-29 10:36:44,286.05,Zomato,Food,Mumbai
T0213,C008,CRD08,2026-05-01 03:25:41,5922.44,IndianOil,Fuel,Chennai
T0645,C002,CRD02,2026-04-30 09:34:00,149.61,McDonald's,Food,Delhi
T0223,C006,CRD06,2026-04-29 09:43:47,1880.99,Louis Vuitton,Luxury,Chennai
T0166,C002,CRD02,2026-05-01 01:34:51,101.92,Dominos,Food,Jaipur
T0558,C002,CRD02,2026-04-28 21:02:54,147.69,Swiggy,Food,Jaipur
T0341,C005,CRD05,2026-04-28 14:44:35,421.32,Blinkit,Groceries,Pune
T1131,C009,CRD09,2026-04-29 21:32:56,2237.71,Reliance Digital,Electronics,Bengaluru
T0349,C008,CRD08,2026-04-28 03:55:00,1158.55,Myntra,E-commerce,Bengaluru
T1168,C005,CRD05,2026-04-29 10:00:41,534.39,BigBasket,Groceries,Pune
T0478,C005,CRD05,2026-04-28 10:20:14,4565.03,H&M,Shopping,Mumbai
T1056,C004,CRD04,2026-04-29 21:23:56,628.89,Croma,Electronics,Mumbai
T0831,C008,CRD08,2026-04-29 13:51:43,56.45,Amazon,E-commerce,Hyderabad
T0291,C006,CRD06,2026-04-30 00:03:29,1990.17,Louis Vuitton,Luxury,Delhi
T0089,C007,CRD07,2026-04-30 11:33:28,443.97,McDonald's,Food,Kolkata
T0868,C008,CRD08,2026-04-30 13:49:45,13175.89,BookMyShow,Entertainment,Mumbai
T0620,C009,CRD09,2026-04-28 11:03:43,1987.85,Reliance Digital,Electronics,Bengaluru
T0167,C003,CRD03,2026-04-30 06:10:38,402.46,H&M,Shopping,Delhi
T0094,C004,CRD04,2026-04-28 15:10:51,8762.82,DMart,Groceries,Mumbai
T0429,C003,CRD03,2026-04-29 13:35:33,105.89,Max Fashion,Shopping,Delhi
T0493,C005,CRD05,2026-05-01 05:14:46,3874.28,Luxury Brand,Luxury,Surat
T0516,C002,CRD02,2026-04-29 04:05:02,2655.61,Swiggy,Food,Mumbai
T1125,C007,CRD07,2026-05-01 00:05:13,1352.72,Tiffany,Luxury,Ahmedabad
T0846,C002,CRD02,2026-04-30 05:55:53,9097.2,Apple Store,Electronics,Mumbai
T0489,C003,CRD03,2026-04-28 08:53:11,1521.82,Blinkit,Groceries,Lucknow
T0323,C009,CRD09,2026-04-30 21:50:25,1349.04,Apple Store,Electronics,Mumbai
T1176,C002,CRD02,2026-04-29 14:25:34,10831.7,BookMyShow,Entertainment,Mumbai
T0232,C001,CRD01,2026-04-30 06:17:35,271.31,Flipkart,E-commerce,Mumbai
T0737,C010,CRD10,2026-04-30 10:37:44,7049.62,Netflix,Entertainment,Bengaluru
T0748,C006,CRD06,2026-04-30 22:11:08,2212.9,Louis Vuitton,Luxury,Chennai
T0703,C003,CRD03,2026-04-30 13:05:53,103.15,Max Fashion,Shopping,Delhi
T0660,C007,CRD07,2026-04-29 15:43:27,3698.59,HPCL,Fuel,Pune
T0416,C001,CRD01,2026-04-30 17:57:09,1392.35,Amazon,E-commerce,Delhi
T0783,C002,CRD02,2026-04-30 11:31:59,236.46,Dominos,Food,Jaipur
T0270,C009,CRD09,2026-04-29 08:06:42,3063.56,Reliance Digital,Electronics,Bengaluru
T0518,C009,CRD09,2026-04-28 05:14:09,1539.43,Reliance Digital,Electronics,Pune
T0860,C010,CRD10,2026-04-28 18:44:10,559.43,H&M,Shopping,Ahmedabad
T0974,C009,CRD09,2026-04-29 16:39:53,58495.55,Reliance Digital,Electronics,Pune
T0947,C006,CRD06,2026-04-30 19:07:50,903.84,Luxury Brand,Luxury,Chennai
T0036,C009,CRD09,2026-04-30 07:32:08,2968.06,Apple Store,Electronics,Mumbai
T0694,C007,CRD07,2026-04-28 10:48:22,556.64,Dominos,Food,Kolkata
T0659,C001,CRD01,2026-04-30 18:05:26,21209.32,Reliance Digital,Electronics,Pune
T0757,C004,CRD04,2026-05-01 08:21:39,67031.16,Tiffany,Luxury,Mumbai
T0081,C008,CRD08,2026-04-29 08:55:55,1688.99,Myntra,E-commerce,Hyderabad
T0336,C006,CRD06,2026-04-29 16:21:17,1492.58,Tiffany,Luxury,Chennai
T0083,C007,CRD07,2026-04-29 17:17:48,281.9,Swiggy,Food,Kolkata
T0605,C004,CRD04,2026-05-01 02:11:46,750.82,Apple Store,Electronics,Mumbai
T0384,C002,CRD02,2026-04-30 14:44:07,220.82,Zomato,Food,Jaipur
T1086,C009,CRD09,2026-04-29 06:04:29,2333.98,Apple Store,Electronics,Mumbai
T1084,C001,CRD01,2026-05-01 02:39:51,639.24,Meesho,E-commerce,Jaipur
T0482,C002,CRD02,2026-04-29 20:38:10,356.31,Dominos,Food,Jaipur
T0122,C009,CRD09,2026-04-29 05:41:01,3115.41,Croma,Electronics,Bengaluru
T0244,C009,CRD09,2026-04-28 21:14:31,2686.89,BookMyShow,Entertainment,Mumbai
T0449,C003,CRD03,2026-04-30 01:24:43,3394.55,Medplus,Healthcare,Pune
T0459,C002,CRD02,2026-05-01 07:53:53,278.77,Dominos,Food,Jaipur
T1064,C005,CRD05,2026-04-29 00:24:05,2273.75,BookMyShow,Entertainment,Mumbai
T0856,C010,CRD10,2026-04-29 14:58:04,123.79,H&M,Shopping,Ahmedabad
T0986,C001,CRD01,2026-04-30 23:29:03,1148.1,Flipkart,E-commerce,Delhi
T0522,C005,CRD05,2026-04-30 09:11:24,739.97,BigBasket,Groceries,Pune
T0837,C005,CRD05,2026-05-01 06:20:04,101.01,BigBasket,Groceries,Pune
T0325,C010,CRD10,2026-04-30 07:29:06,6464.41,1mg,Healthcare,Delhi
T0771,C010,CRD10,2026-04-29 08:55:50,11609.61,Reliance Digital,Electronics,Pune
T0862,C004,CRD04,2026-04-30 22:14:02,3356.11,Apple Store,Electronics,Mumbai
T0075,C004,CRD04,2026-04-29 04:47:32,3969.07,Netflix,Entertainment,Bengaluru
T0310,C007,CRD07,2026-04-29 05:47:19,164.93,Swiggy,Food,Kolkata
T0432,C002,CRD02,2026-04-30 07:21:47,340.27,Dominos,Food,Jaipur
T0891,C005,CRD05,2026-04-30 04:42:09,100.08,DMart,Groceries,Pune
T0471,C004,CRD04,2026-04-29 15:12:25,2527.54,Apple Store,Electronics,Mumbai
T0629,C005,CRD05,2026-04-28 15:25:35,897.57,DMart,Groceries,Pune
T0301,C003,CRD03,2026-04-27 20:14:02,2292.92,Zara,Shopping,Delhi
T0628,C004,CRD04,2026-04-29 00:53:43,246.67,Max Fashion,Shopping,Surat
T1017,C001,CRD01,2026-04-28 09:38:58,1396.61,Myntra,E-commerce,Delhi
T0864,C010,CRD10,2026-04-28 02:24:16,216.17,Zara,Shopping,Delhi
T1009,C001,CRD01,2026-05-01 06:47:46,867.28,Flipkart,E-commerce,Mumbai
T0906,C003,CRD03,2026-04-28 19:01:14,146.35,Max Fashion,Shopping,Delhi
T0691,C003,CRD03,2026-04-30 04:11:00,638.14,H&M,Shopping,Delhi
T0400,C010,CRD10,2026-04-30 14:09:22,581.83,Zara,Shopping,Delhi
T0728,C005,CRD05,2026-04-30 04:43:38,1924.45,Louis Vuitton,Luxury,Delhi
T1041,C005,CRD05,2026-04-28 14:31:57,655.15,DMart,Groceries,Pune
T0348,C006,CRD06,2026-04-30 10:33:59,1598.95,Swiggy,Food,Kolkata
T0428,C003,CRD03,2026-04-29 02:14:43,226.32,Max Fashion,Shopping,Delhi
T0910,C006,CRD06,2026-04-30 02:37:57,711.33,Luxury Brand,Luxury,Chennai
T1163,C004,CRD04,2026-04-29 17:21:13,1874.52,Reliance Digital,Electronics,Mumbai
T0054,C002,CRD02,2026-04-30 01:14:07,132.86,McDonald's,Food,Delhi
T0273,C008,CRD08,2026-04-29 10:06:48,1168.28,Meesho,E-commerce,Hyderabad
T1136,C008,CRD08,2026-04-29 11:43:18,197.98,Flipkart,E-commerce,Hyderabad
T0209,C010,CRD10,2026-04-28 02:47:57,1314.12,Max Fashion,Shopping,Kolkata
T0021,C008,CRD08,2026-05-01 06:50:03,1097.09,Amazon,E-commerce,Hyderabad
T0427,C002,CRD02,2026-04-30 18:28:41,349.8,Dominos,Food,Jaipur
T0250,C009,CRD09,2026-05-01 05:22:58,1478.66,Reliance Digital,Electronics,Bengaluru
T0264,C006,CRD06,2026-04-29 21:13:42,1967.01,Louis Vuitton,Luxury,Chennai
T0675,C009,CRD09,2026-04-28 17:17:54,63991.33,Tiffany,Luxury,Mumbai
T0293,C002,CRD02,2026-04-28 16:58:19,8804.17,Apollo Pharmacy,Healthcare,Chennai
T0361,C001,CRD01,2026-04-28 17:11:31,34001.5,Reliance Digital,Electronics,Pune
T1101,C009,CRD09,2026-04-29 10:49:35,925.49,Reliance Digital,Electronics,Bengaluru
T0807,C003,CRD03,2026-04-30 07:34:09,219.22,Max Fashion,Shopping,Delhi
T0374,C008,CRD08,2026-04-30 16:08:59,572.38,Amazon,E-commerce,Hyderabad
T0275,C002,CRD02,2026-04-29 16:07:50,339.78,Swiggy,Food,Jaipur
T0253,C006,CRD06,2026-04-28 17:17:32,732.0,Luxury Brand,Luxury,Chennai
T0834,C004,CRD04,2026-04-28 11:14:36,1590.91,Apple Store,Electronics,Mumbai
T0869,C007,CRD07,2026-04-30 23:25:35,86.06,Dominos,Food,Jaipur
T0989,C009,CRD09,2026-04-29 06:12:31,397.4,Zara,Shopping,Surat
T0235,C003,CRD03,2026-04-29 13:20:47,65.29,Zara,Shopping,Delhi
T0948,C007,CRD07,2026-04-30 06:35:11,74.24,McDonald's,Food,Kolkata
T0183,C004,CRD04,2026-04-28 23:21:19,523.94,Croma,Electronics,Mumbai
T0314,C010,CRD10,2026-04-30 00:44:27,17419.77,Tiffany,Luxury,Mumbai
T0827,C010,CRD10,2026-04-30 06:34:38,196.32,Max Fashion,Shopping,Kolkata
T0289,C009,CRD09,2026-04-27 23:24:24,2756.78,Reliance Digital,Electronics,Pune
T0430,C002,CRD02,2026-04-28 18:03:57,3986.0,Apple Store,Electronics,Mumbai
T0913,C002,CRD02,2026-04-28 17:28:25,176.9,Zomato,Food,Jaipur
T0855,C003,CRD03,2026-04-28 10:37:40,475.63,Zara,Shopping,Delhi
T0599,C008,CRD08,2026-04-30 03:14:06,134.13,Myntra,E-commerce,Hyderabad
T0109,C004,CRD04,2026-04-29 03:08:26,560.31,Luxury Brand,Luxury,Surat
T0731,C004,CRD04,2026-05-01 07:57:25,94532.74,Apple Store,Electronics,Mumbai
T0160,C009,CRD09,2026-04-29 00:28:08,2534.23,Croma,Electronics,Delhi
T0426,C008,CRD08,2026-04-29 13:50:30,953.53,Flipkart,E-commerce,Hyderabad
T0642,C009,CRD09,2026-04-29 07:15:15,1838.68,Croma,Electronics,Bengaluru
T0044,C005,CRD05,2026-05-01 03:52:25,958.59,BigBasket,Groceries,Pune
T0056,C007,CRD07,2026-04-30 23:04:00,11767.43,Luxury Brand,Luxury,Bengaluru
T0234,C010,CRD10,2026-04-28 19:31:14,101.51,H&M,Shopping,Ahmedabad
T0360,C009,CRD09,2026-04-29 18:45:47,261.6,Reliance Digital,Electronics,Bengaluru
T0453,C006,CRD06,2026-04-27 21:57:42,1953.4,Louis Vuitton,Luxury,Delhi
T0027,C003,CRD03,2026-05-01 04:20:39,4828.94,Netflix,Entertainment,Hyderabad
T0365,C002,CRD02,2026-04-30 18:08:02,210.14,Zomato,Food,Jaipur
T0305,C001,CRD01,2026-04-30 09:18:11,673.51,Flipkart,E-commerce,Delhi
T0715,C001,CRD01,2026-04-30 08:15:42,79.57,Meesho,E-commerce,Jaipur
T0050,C001,CRD01,2026-04-29 14:46:52,252.77,Amazon,E-commerce,Delhi
T0202,C002,CRD02,2026-04-29 11:57:36,340.14,McDonald's,Food,Jaipur
T0633,C008,CRD08,2026-04-30 15:35:34,1714.0,HPCL,Fuel,Nagpur
T0147,C003,CRD03,2026-04-29 06:02:18,514.04,Zara,Shopping,Delhi
T0408,C002,CRD02,2026-04-30 04:09:51,297.77,McDonald's,Food,Jaipur
T0196,C010,CRD10,2026-04-29 07:39:31,696.81,Dominos,Food,Hyderabad
T0609,C010,CRD10,2026-04-28 18:09:11,106.16,Zara,Shopping,Delhi
T0614,C009,CRD09,2026-05-01 07:46:43,484.92,Reliance Digital,Electronics,Bengaluru
